session,treatment,period,id,shock,prob1,prob2,cost1,cost2,endowment,minProb1,maxCost2
2022-09-06-131502,1,1,1,0,0.5,0.5851648351648352,2.5,2.925824175824176,20,0.5,5
2022-09-06-131502,1,2,1,0,0.5,0.24175824175824176,2.5,1.2087912087912087,20,0.5,5
2022-09-06-131502,1,3,1,0,0.5,0.7884615384615384,2.5,3.942307692307692,20,0.5,5
2022-09-06-131502,1,4,1,0,0.8076923076923076,0.7252747252747254,4.038461538461538,3.626373626373627,20,0.5,5
2022-09-06-131502,1,5,1,0,0.6868131868131868,0,3.4340659340659343,0,20,0.5,5
2022-09-06-131502,1,6,1,0,0.5,0.8076923076923076,2.5,4.038461538461538,20,0.5,5
2022-09-06-131502,1,7,1,0,0.837912087912088,0.6373626373626373,4.18956043956044,3.1868131868131866,20,0.5,5
2022-09-06-131502,1,8,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,9,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,10,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,11,1,0,0.6703296703296703,0,3.3516483516483513,0,20,0.5,5
2022-09-06-131502,1,12,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,13,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,14,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,15,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,16,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,17,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,18,1,0,0.5,0,2.5,0,20,0.5,5
2022-09-06-131502,1,19,1,0,0.5,0.9148351648351648,2.5,4.574175824175824,20,0.5,5
2022-09-06-131502,1,20,1,0,0.5,0,2.5,0,20,0.5,5
